timestamp,well_id,cycle_num,steam_volume_bbl,injection_pressure_psi,steam_quality_frac,soak_duration_days,reservoir_temperature_C,is_synthetic
2026-07-28,BGW-001,7,1046.4,225.1,0.841,11.1,64.3,True
2026-07-29,BGW-001,7,961.3,225.1,0.841,12.8,57.9,True
2026-07-30,BGW-001,7,969.8,225.1,0.841,10.3,50.9,True
2026-07-31,BGW-001,7,988.4,225.1,0.841,12.2,63.7,True
2026-08-01,BGW-001,7,926.3,225.1,0.841,11.6,55.4,True
2026-08-02,BGW-001,7,869.8,225.1,0.841,14.0,51.7,True
2026-08-03,BGW-001,7,1057.1,225.1,0.841,13.2,53.2,True
2026-08-04,BGW-001,8,1050.3,225.1,0.841,10.3,52.0,True
2026-08-05,BGW-001,8,932.6,225.1,0.841,11.5,60.5,True
2026-08-06,BGW-001,8,961.9,225.1,0.841,12.1,61.7,True
2026-08-07,BGW-001,8,1004.3,225.1,0.841,11.7,52.8,True
2026-08-08,BGW-001,8,1008.9,225.1,0.841,10.1,56.2,True
2026-08-09,BGW-001,8,977.2,225.1,0.841,11.0,65.0,True
2026-08-10,BGW-001,8,886.5,225.1,0.841,12.9,60.7,True
2026-08-11,BGW-001,9,1050.1,225.1,0.841,12.5,54.6,True
2026-08-12,BGW-001,9,987.4,225.1,0.841,9.3,61.9,True
2026-08-13,BGW-001,9,980.7,225.1,0.841,11.9,61.8,True
2026-08-14,BGW-001,9,979.4,225.1,0.841,12.4,54.0,True
2026-08-15,BGW-001,9,1139.9,225.1,0.841,12.7,62.7,True
2026-08-16,BGW-001,9,941.1,225.1,0.841,6.6,56.0,True
2026-08-17,BGW-001,9,909.4,225.1,0.841,11.4,52.4,True
2026-08-18,BGW-001,10,1015.2,225.1,0.841,14.2,60.8,True
2026-08-19,BGW-001,10,1080.7,225.1,0.841,14.0,56.6,True
2026-08-20,BGW-001,10,990.6,225.1,0.841,12.6,64.3,True
2026-08-21,BGW-001,10,973.5,225.1,0.841,12.4,64.7,True
2026-08-22,BGW-001,10,1071.7,225.1,0.841,9.7,54.4,True
2026-08-23,BGW-001,10,1007.9,225.1,0.841,11.1,53.7,True
2026-08-24,BGW-001,10,1014.4,225.1,0.841,10.4,63.5,True
2026-08-25,BGW-001,11,970.1,225.1,0.841,14.3,55.8,True
2026-08-26,BGW-001,11,1093.6,225.1,0.841,16.4,54.8,True
2026-07-28,BGW-002,3,1146.0,217.6,0.875,13.7,68.1,True
2026-07-29,BGW-002,3,1176.2,217.6,0.875,13.8,63.2,True
2026-07-30,BGW-002,3,1144.6,217.6,0.875,10.9,57.7,True
2026-07-31,BGW-002,3,1195.1,217.6,0.875,12.4,55.7,True
2026-08-01,BGW-002,3,1202.0,217.6,0.875,12.4,56.6,True
2026-08-02,BGW-002,3,1171.1,217.6,0.875,10.5,58.2,True
2026-08-03,BGW-002,3,1175.5,217.6,0.875,12.4,65.1,True
2026-08-04,BGW-002,4,1123.6,217.6,0.875,10.0,56.2,True
2026-08-05,BGW-002,4,1190.6,217.6,0.875,9.7,63.8,True
2026-08-06,BGW-002,4,1226.1,217.6,0.875,12.4,60.6,True
2026-08-07,BGW-002,4,1136.5,217.6,0.875,12.2,58.2,True
2026-08-08,BGW-002,4,1172.4,217.6,0.875,12.9,58.6,True
2026-08-09,BGW-002,4,1157.0,217.6,0.875,14.2,66.5,True
2026-08-10,BGW-002,4,1150.9,217.6,0.875,10.6,58.7,True
2026-08-11,BGW-002,5,1080.1,217.6,0.875,15.8,55.2,True
2026-08-12,BGW-002,5,1135.4,217.6,0.875,14.8,55.2,True
2026-08-13,BGW-002,5,1152.7,217.6,0.875,9.1,64.5,True
2026-08-14,BGW-002,5,1193.3,217.6,0.875,11.2,56.5,True
2026-08-15,BGW-002,5,1165.5,217.6,0.875,9.4,56.0,True
2026-08-16,BGW-002,5,1107.1,217.6,0.875,10.1,68.4,True
2026-08-17,BGW-002,5,1155.1,217.6,0.875,9.7,55.2,True
2026-08-18,BGW-002,6,1155.5,217.6,0.875,11.1,55.7,True
2026-08-19,BGW-002,6,1299.8,217.6,0.875,11.7,56.2,True
2026-08-20,BGW-002,6,1300.5,217.6,0.875,11.3,63.3,True
2026-08-21,BGW-002,6,1118.7,217.6,0.875,13.0,61.2,True
2026-08-22,BGW-002,6,1155.6,217.6,0.875,10.5,68.8,True
2026-08-23,BGW-002,6,1115.4,217.6,0.875,7.6,66.6,True
2026-08-24,BGW-002,6,1047.1,217.6,0.875,12.8,57.8,True
2026-08-25,BGW-002,7,1124.8,217.6,0.875,11.1,66.4,True
2026-08-26,BGW-002,7,1221.1,217.6,0.875,10.3,61.2,True
2026-07-28,BGW-006,6,974.3,233.1,0.895,11.2,54.4,True
2026-07-29,BGW-006,6,990.2,233.1,0.895,11.3,66.8,True
2026-07-30,BGW-006,6,849.3,233.1,0.895,11.2,62.0,True
2026-07-31,BGW-006,6,899.5,233.1,0.895,13.7,59.4,True
2026-08-01,BGW-006,6,962.8,233.1,0.895,13.4,67.5,True
2026-08-02,BGW-006,6,911.9,233.1,0.895,12.6,60.7,True
2026-08-03,BGW-006,6,979.4,233.1,0.895,11.7,54.9,True
2026-08-04,BGW-006,7,848.7,233.1,0.895,8.6,53.6,True
2026-08-05,BGW-006,7,840.7,233.1,0.895,9.3,58.1,True
