timestamp,well_id,oil_BOPD,water_cut_frac,total_liquid_BLPD,is_synthetic
2026-07-28,BGW-001,8.78,0.226,11.34,True
2026-07-29,BGW-001,20.47,0.226,26.45,True
2026-07-30,BGW-001,15.57,0.226,20.11,True
2026-07-31,BGW-001,7.57,0.226,9.78,True
2026-08-01,BGW-001,17.93,0.226,23.17,True
2026-08-02,BGW-001,9.07,0.226,11.72,True
2026-08-03,BGW-001,5.92,0.226,7.65,True
2026-08-04,BGW-001,15.91,0.226,20.55,True
2026-08-05,BGW-001,8.89,0.226,11.48,True
2026-08-06,BGW-001,12.33,0.226,15.93,True
2026-08-07,BGW-001,11.74,0.226,15.17,True
2026-08-08,BGW-001,10.46,0.226,13.52,True
2026-08-09,BGW-001,16.99,0.226,21.95,True
2026-08-10,BGW-001,22.19,0.226,28.67,True
2026-08-11,BGW-001,6.79,0.226,8.78,True
2026-08-12,BGW-001,10.88,0.226,14.05,True
2026-08-13,BGW-001,6.84,0.226,8.84,True
2026-08-14,BGW-001,14.29,0.226,18.46,True
2026-08-15,BGW-001,20.99,0.226,27.12,True
2026-08-16,BGW-001,18.44,0.226,23.83,True
2026-08-17,BGW-001,19.77,0.226,25.54,True
2026-08-18,BGW-001,10.0,0.226,12.92,True
2026-08-19,BGW-001,19.58,0.226,25.3,True
2026-08-20,BGW-001,17.84,0.226,23.05,True
2026-08-21,BGW-001,16.59,0.226,21.43,True
2026-08-22,BGW-001,17.71,0.226,22.88,True
2026-08-23,BGW-001,15.91,0.226,20.55,True
2026-08-24,BGW-001,22.03,0.226,28.47,True
2026-08-25,BGW-001,7.48,0.226,9.66,True
2026-08-26,BGW-001,16.98,0.226,21.94,True
2026-07-28,BGW-002,9.29,0.092,10.23,True
2026-07-29,BGW-002,11.1,0.092,12.22,True
2026-07-30,BGW-002,17.48,0.092,19.25,True
2026-07-31,BGW-002,13.14,0.092,14.47,True
2026-08-01,BGW-002,10.32,0.092,11.36,True
2026-08-02,BGW-002,21.15,0.092,23.29,True
2026-08-03,BGW-002,17.14,0.092,18.88,True
2026-08-04,BGW-002,23.49,0.092,25.87,True
2026-08-05,BGW-002,12.4,0.092,13.66,True
2026-08-06,BGW-002,19.83,0.092,21.84,True
2026-08-07,BGW-002,19.12,0.092,21.06,True
2026-08-08,BGW-002,23.14,0.092,25.48,True
2026-08-09,BGW-002,18.94,0.092,20.86,True
2026-08-10,BGW-002,11.21,0.092,12.34,True
2026-08-11,BGW-002,14.8,0.092,16.3,True
2026-08-12,BGW-002,6.85,0.092,7.55,True
2026-08-13,BGW-002,24.49,0.092,26.97,True
2026-08-14,BGW-002,7.3,0.092,8.04,True
2026-08-15,BGW-002,7.39,0.092,8.14,True
2026-08-16,BGW-002,18.57,0.092,20.45,True
2026-08-17,BGW-002,23.92,0.092,26.34,True
2026-08-18,BGW-002,20.01,0.092,22.03,True
2026-08-19,BGW-002,24.28,0.092,26.74,True
2026-08-20,BGW-002,14.83,0.092,16.33,True
2026-08-21,BGW-002,5.72,0.092,6.29,True
2026-08-22,BGW-002,16.85,0.092,18.56,True
2026-08-23,BGW-002,6.1,0.092,6.72,True
2026-08-24,BGW-002,17.27,0.092,19.02,True
2026-08-25,BGW-002,8.6,0.092,9.48,True
2026-08-26,BGW-002,9.77,0.092,10.76,True
2026-07-28,BGW-006,20.27,0.149,23.82,True
2026-07-29,BGW-006,21.31,0.149,25.04,True
2026-07-30,BGW-006,9.97,0.149,11.72,True
2026-07-31,BGW-006,9.03,0.149,10.61,True
2026-08-01,BGW-006,8.11,0.149,9.53,True
2026-08-02,BGW-006,5.91,0.149,6.95,True
2026-08-03,BGW-006,17.38,0.149,20.42,True
2026-08-04,BGW-006,18.26,0.149,21.46,True
2026-08-05,BGW-006,15.53,0.149,18.25,True
2026-08-06,BGW-006,6.85,0.149,8.05,True
2026-08-07,BGW-006,12.81,0.149,15.06,True
2026-08-08,BGW-006,10.58,0.149,12.43,True
2026-08-09,BGW-006,7.53,0.149,8.85,True
2026-08-10,BGW-006,17.34,0.149,20.38,True
2026-08-11,BGW-006,18.26,0.149,21.46,True
2026-08-12,BGW-006,21.93,0.149,25.77,True
2026-08-13,BGW-006,10.45,0.149,12.28,True
2026-08-14,BGW-006,8.96,0.149,10.53,True
2026-08-15,BGW-006,5.41,0.149,6.36,True
2026-08-16,BGW-006,22.33,0.149,26.24,True
2026-08-17,BGW-006,22.42,0.149,26.34,True
2026-08-18,BGW-006,10.74,0.149,12.62,True
2026-08-19,BGW-006,5.22,0.149,6.13,True
2026-08-20,BGW-006,15.12,0.149,17.77,True
2026-08-21,BGW-006,9.82,0.149,11.54,True
2026-08-22,BGW-006,10.87,0.149,12.77,True
2026-08-23,BGW-006,21.33,0.149,25.07,True
2026-08-24,BGW-006,5.78,0.149,6.79,True
2026-08-25,BGW-006,20.0,0.149,23.5,True
2026-08-26,BGW-006,19.21,0.149,22.57,True
2026-07-28,BGW-007,3.4,0.238,4.47,True
2026-07-29,BGW-007,5.68,0.238,7.46,True
2026-07-30,BGW-007,7.29,0.238,9.57,True
2026-07-31,BGW-007,3.57,0.238,4.68,True
2026-08-01,BGW-007,3.83,0.238,5.03,True
2026-08-02,BGW-007,7.66,0.238,10.06,True
2026-08-03,BGW-007,4.2,0.238,5.51,True
2026-08-04,BGW-007,7.84,0.238,10.28,True
2026-08-05,BGW-007,9.25,0.238,12.14,True
2026-08-06,BGW-007,2.99,0.238,3.93,True
2026-08-07,BGW-007,9.13,0.238,11.98,True
2026-08-08,BGW-007,8.98,0.238,11.78,True
2026-08-09,BGW-007,12.53,0.238,16.44,True
2026-08-10,BGW-007,12.51,0.238,16.42,True
2026-08-11,BGW-007,5.4,0.238,7.09,True
2026-08-12,BGW-007,8.92,0.238,11.71,True
2026-08-13,BGW-007,10.44,0.238,13.7,True
2026-08-14,BGW-007,8.94,0.238,11.74,True
2026-08-15,BGW-007,10.11,0.238,13.26,True
2026-08-16,BGW-007,4.35,0.238,5.71,True
2026-08-17,BGW-007,11.14,0.238,14.62,True
2026-08-18,BGW-007,12.71,0.238,16.68,True
2026-08-19,BGW-007,13.01,0.238,17.07,True
2026-08-20,BGW-007,12.17,0.238,15.97,True
2026-08-21,BGW-007,5.81,0.238,7.62,True
2026-08-22,BGW-007,10.04,0.238,13.18,True
2026-08-23,BGW-007,4.52,0.238,5.93,True
2026-08-24,BGW-007,4.21,0.238,5.53,True
2026-08-25,BGW-007,3.63,0.238,4.77,True
2026-08-26,BGW-007,5.44,0.238,7.14,True
2026-07-28,BGW-008,22.17,0.267,30.25,True
2026-07-29,BGW-008,14.44,0.267,19.71,True
2026-07-30,BGW-008,16.6,0.267,22.65,True
2026-07-31,BGW-008,12.58,0.267,17.17,True
2026-08-01,BGW-008,9.47,0.267,12.92,True
2026-08-02,BGW-008,21.54,0.267,29.38,True
2026-08-03,BGW-008,11.82,0.267,16.13,True
2026-08-04,BGW-008,21.36,0.267,29.14,True
2026-08-05,BGW-008,25.0,0.267,34.11,True
2026-08-06,BGW-008,25.0,0.267,34.11,True
2026-08-07,BGW-008,21.38,0.267,29.16,True
2026-08-08,BGW-008,14.05,0.267,19.17,True
2026-08-09,BGW-008,25.0,0.267,34.11,True
2026-08-10,BGW-008,12.05,0.267,16.44,True
2026-08-11,BGW-008,12.32,0.267,16.8,True
2026-08-12,BGW-008,9.69,0.267,13.22,True
2026-08-13,BGW-008,12.82,0.267,17.49,True
2026-08-14,BGW-008,14.01,0.267,19.11,True
2026-08-15,BGW-008,14.27,0.267,19.47,True
2026-08-16,BGW-008,24.81,0.267,33.84,True
2026-08-17,BGW-008,9.57,0.267,13.05,True
2026-08-18,BGW-008,24.88,0.267,33.94,True
2026-08-19,BGW-008,11.42,0.267,15.58,True
2026-08-20,BGW-008,19.63,0.267,26.78,True
2026-08-21,BGW-008,10.14,0.267,13.83,True
2026-08-22,BGW-008,9.51,0.267,12.98,True
2026-08-23,BGW-008,8.67,0.267,11.83,True
2026-08-24,BGW-008,18.25,0.267,24.9,True
2026-08-25,BGW-008,15.19,0.267,20.72,True
2026-08-26,BGW-008,25.0,0.267,34.11,True
2026-07-28,BGW-009,5.48,0.172,6.62,True
2026-07-29,BGW-009,13.38,0.172,16.16,True
2026-07-30,BGW-009,7.66,0.172,9.25,True
2026-07-31,BGW-009,7.22,0.172,8.72,True
2026-08-01,BGW-009,9.07,0.172,10.96,True
2026-08-02,BGW-009,20.21,0.172,24.41,True
2026-08-03,BGW-009,20.56,0.172,24.83,True
2026-08-04,BGW-009,9.62,0.172,11.62,True
