timestamp,well_id,spm,stroke_length_in,vfd_frequency_hz,fluid_level_m,pump_depth_ft,rod_string_diameter_in,rod_string_length_ft,tubing_size_in,is_synthetic
2026-07-28,BGW-001,5.22,105.0,38.7,750.4,3996.0,0.875,3789.0,2.375,True
2026-07-29,BGW-001,5.44,70.0,38.6,750.4,3996.0,0.875,3789.0,2.375,True
2026-07-30,BGW-001,5.97,105.0,40.2,750.4,3996.0,0.875,3789.0,2.375,True
2026-07-31,BGW-001,5.31,95.0,47.2,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-01,BGW-001,6.09,105.0,39.6,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-02,BGW-001,5.98,100.0,42.9,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-03,BGW-001,5.68,85.0,44.1,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-04,BGW-001,5.55,75.0,41.5,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-05,BGW-001,5.51,75.0,38.0,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-06,BGW-001,5.8,95.0,38.8,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-07,BGW-001,5.76,110.0,44.8,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-08,BGW-001,4.83,105.0,38.9,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-09,BGW-001,5.86,70.0,42.6,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-10,BGW-001,6.1,100.0,43.2,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-11,BGW-001,5.86,115.0,39.9,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-12,BGW-001,5.75,110.0,43.5,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-13,BGW-001,5.25,105.0,39.6,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-14,BGW-001,5.79,115.0,45.9,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-15,BGW-001,6.29,85.0,43.3,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-16,BGW-001,6.03,115.0,39.0,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-17,BGW-001,5.72,100.0,42.8,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-18,BGW-001,5.52,85.0,39.8,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-19,BGW-001,5.84,105.0,39.3,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-20,BGW-001,5.28,100.0,43.8,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-21,BGW-001,5.72,115.0,43.1,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-22,BGW-001,6.21,85.0,36.4,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-23,BGW-001,5.9,85.0,43.2,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-24,BGW-001,5.95,80.0,43.4,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-25,BGW-001,5.9,100.0,39.4,750.4,3996.0,0.875,3789.0,2.375,True
2026-08-26,BGW-001,5.39,85.0,40.0,750.4,3996.0,0.875,3789.0,2.375,True
2026-07-28,BGW-002,5.36,110.0,38.6,563.3,4385.6,1.0,3149.5,2.875,True
2026-07-29,BGW-002,5.87,115.0,38.9,563.3,4385.6,1.0,3149.5,2.875,True
2026-07-30,BGW-002,5.73,95.0,41.4,563.3,4385.6,1.0,3149.5,2.875,True
2026-07-31,BGW-002,6.07,95.0,40.0,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-01,BGW-002,5.3,75.0,41.6,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-02,BGW-002,6.42,75.0,41.8,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-03,BGW-002,5.97,105.0,41.9,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-04,BGW-002,5.53,110.0,46.0,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-05,BGW-002,5.48,70.0,35.0,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-06,BGW-002,5.94,100.0,39.0,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-07,BGW-002,5.86,75.0,46.0,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-08,BGW-002,5.93,100.0,36.8,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-09,BGW-002,5.96,100.0,38.0,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-10,BGW-002,5.51,105.0,39.9,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-11,BGW-002,5.76,105.0,49.2,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-12,BGW-002,5.5,75.0,40.7,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-13,BGW-002,6.05,70.0,42.3,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-14,BGW-002,5.34,110.0,39.8,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-15,BGW-002,5.76,70.0,42.4,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-16,BGW-002,5.23,100.0,44.3,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-17,BGW-002,4.9,80.0,40.3,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-18,BGW-002,5.88,110.0,44.0,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-19,BGW-002,6.0,105.0,41.1,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-20,BGW-002,6.05,95.0,45.5,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-21,BGW-002,5.56,90.0,44.3,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-22,BGW-002,5.47,80.0,43.6,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-23,BGW-002,6.15,115.0,42.7,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-24,BGW-002,6.39,70.0,44.7,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-25,BGW-002,5.69,70.0,43.4,563.3,4385.6,1.0,3149.5,2.875,True
2026-08-26,BGW-002,5.53,70.0,43.0,563.3,4385.6,1.0,3149.5,2.875,True
2026-07-28,BGW-006,3.97,105.0,44.1,844.7,4160.9,0.75,4040.3,2.375,True
2026-07-29,BGW-006,4.42,105.0,42.1,844.7,4160.9,0.75,4040.3,2.375,True
2026-07-30,BGW-006,3.9,85.0,42.1,844.7,4160.9,0.75,4040.3,2.375,True
2026-07-31,BGW-006,3.74,90.0,43.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-01,BGW-006,4.74,90.0,38.3,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-02,BGW-006,4.47,80.0,41.8,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-03,BGW-006,4.38,100.0,36.6,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-04,BGW-006,4.31,100.0,45.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-05,BGW-006,4.26,90.0,39.8,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-06,BGW-006,4.11,85.0,39.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-07,BGW-006,4.64,90.0,47.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-08,BGW-006,3.55,105.0,40.6,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-09,BGW-006,3.7,100.0,42.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-10,BGW-006,3.5,90.0,44.5,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-11,BGW-006,4.38,95.0,42.3,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-12,BGW-006,3.61,100.0,45.3,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-13,BGW-006,5.24,75.0,39.6,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-14,BGW-006,3.58,80.0,40.4,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-15,BGW-006,4.24,95.0,37.6,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-16,BGW-006,3.86,85.0,46.1,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-17,BGW-006,4.35,80.0,42.5,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-18,BGW-006,4.15,80.0,44.9,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-19,BGW-006,3.8,70.0,39.9,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-20,BGW-006,3.91,110.0,40.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-21,BGW-006,3.97,75.0,44.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-22,BGW-006,4.26,95.0,45.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-23,BGW-006,4.26,110.0,40.5,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-24,BGW-006,3.95,70.0,40.5,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-25,BGW-006,3.87,75.0,43.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-08-26,BGW-006,4.26,90.0,46.0,844.7,4160.9,0.75,4040.3,2.375,True
2026-07-28,BGW-007,6.55,90.0,40.3,559.4,4101.6,0.75,3382.0,2.875,True
2026-07-29,BGW-007,6.32,95.0,45.2,559.4,4101.6,0.75,3382.0,2.875,True
2026-07-30,BGW-007,5.58,105.0,47.1,559.4,4101.6,0.75,3382.0,2.875,True
2026-07-31,BGW-007,5.89,90.0,42.5,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-01,BGW-007,5.99,75.0,38.7,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-02,BGW-007,5.98,90.0,46.8,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-03,BGW-007,6.72,80.0,40.5,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-04,BGW-007,5.82,110.0,45.9,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-05,BGW-007,5.14,115.0,37.9,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-06,BGW-007,6.35,100.0,39.5,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-07,BGW-007,6.45,95.0,36.4,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-08,BGW-007,6.19,80.0,45.8,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-09,BGW-007,6.72,100.0,40.4,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-10,BGW-007,6.08,90.0,35.5,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-11,BGW-007,6.0,75.0,39.2,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-12,BGW-007,6.47,100.0,38.7,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-13,BGW-007,5.47,90.0,41.5,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-14,BGW-007,5.66,75.0,41.5,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-15,BGW-007,5.87,105.0,41.2,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-16,BGW-007,6.66,85.0,41.7,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-17,BGW-007,5.45,75.0,42.2,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-18,BGW-007,5.66,90.0,43.8,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-19,BGW-007,6.16,75.0,38.6,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-20,BGW-007,6.59,70.0,36.6,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-21,BGW-007,6.17,100.0,49.0,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-22,BGW-007,6.21,100.0,44.3,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-23,BGW-007,6.84,75.0,44.7,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-24,BGW-007,5.73,105.0,39.1,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-25,BGW-007,6.16,80.0,36.8,559.4,4101.6,0.75,3382.0,2.875,True
2026-08-26,BGW-007,6.3,70.0,40.6,559.4,4101.6,0.75,3382.0,2.875,True
2026-07-28,BGW-008,5.74,100.0,41.3,632.9,3981.1,0.875,3536.2,2.375,True
