well_id,status,field_x_km,field_y_km,injection_pressure_psi,steam_quality_frac,prior_cycle_count,thermal_conductivity_W_mK,porosity_frac,formation_thickness_m,baseline_reservoir_temp_C,crude_api_gravity,fluid_level_m,rod_string_diameter_in,rod_string_length_ft,pump_depth_ft,tubing_size_in,fluid_specific_gravity,water_cut_frac,cycle_num,lagged_bopd,arps_qi,is_synthetic,data_source
BGW-001,operational,4.831,13.255,225.1,0.841,4,2.51,0.266,13.87,45.5,17.52,750.4,0.875,3789.0,3996.0,2.375,0.933,0.226,7,51.08,51.75,True,synthetic_field_prototype
BGW-002,operational,5.883,6.928,217.6,0.875,4,2.219,0.273,9.01,49.4,18.04,563.3,1.0,3149.5,4385.6,2.875,0.989,0.092,3,56.5,49.14,True,synthetic_field_prototype
BGW-003,non_producing,7.939,5.832,241.9,0.914,3,2.5,0.29,10.12,50.6,17.05,548.9,1.0,4074.9,3884.8,2.375,0.927,0.083,7,44.57,62.06,True,synthetic_field_prototype
BGW-004,non_producing,7.896,12.466,253.5,0.806,4,2.548,0.303,13.47,48.3,18.09,858.6,1.0,3958.9,4277.1,2.375,0.929,0.203,2,58.3,38.05,True,synthetic_field_prototype
BGW-005,non_producing,8.495,11.999,230.3,0.825,3,2.29,0.267,13.68,44.0,17.56,416.4,0.875,3887.6,3578.0,2.375,0.956,0.212,7,37.75,49.34,True,synthetic_field_prototype
BGW-006,operational,4.391,1.65,233.1,0.895,6,2.126,0.285,15.71,48.6,18.49,844.7,0.75,4040.3,4160.9,2.375,0.979,0.149,6,50.22,53.42,True,synthetic_field_prototype
BGW-007,operational,1.424,4.943,257.1,0.81,5,1.802,0.269,9.71,45.1,18.83,559.4,0.75,3382.0,4101.6,2.875,0.929,0.238,3,29.18,69.12,True,synthetic_field_prototype
BGW-008,operational,7.76,6.134,199.3,0.889,3,2.029,0.243,15.76,43.2,17.24,632.9,0.875,3536.2,3981.1,2.375,0.987,0.267,5,62.67,42.55,True,synthetic_field_prototype
BGW-009,operational,11.36,4.149,237.4,0.881,1,2.465,0.318,10.93,48.0,18.48,439.8,0.75,3514.4,3493.8,2.875,0.958,0.172,6,52.1,57.44,True,synthetic_field_prototype
BGW-010,non_producing,12.672,2.491,203.1,0.83,4,2.397,0.292,10.44,49.0,18.54,785.1,0.875,3339.4,4374.5,2.375,0.982,0.121,3,33.13,53.73,True,synthetic_field_prototype
