well_id,cycle_num,day_count_in_cycle,phase,temperature_C,viscosity_cP,spm,stroke_length_in,vfd_frequency_hz,water_cut_frac,cum_production_this_cycle_bbl,lagged_bopd,bopd,is_synthetic,data_source
BGW-001,4,1.35,production,96.569,747.12,6.82,135.4,42.0,0.121,12.2,9.02,9.02,True,physics_chained_synthetic
BGW-001,4,2.02,production,94.718,853.75,6.82,135.4,42.0,0.121,18.4,9.02,9.23,True,physics_chained_synthetic
BGW-001,4,4.74,production,85.667,1671.73,6.82,135.4,42.0,0.121,30.7,9.23,4.53,True,physics_chained_synthetic
BGW-001,4,4.77,production,85.588,1681.81,6.82,135.4,42.0,0.121,30.8,4.53,4.56,True,physics_chained_synthetic
BGW-001,4,5.05,production,84.67,1803.91,6.82,135.4,42.0,0.121,31.9,4.56,3.81,True,physics_chained_synthetic
BGW-001,4,12.0,production,58.224,16049.68,6.82,135.4,42.0,0.121,32.6,3.81,0.11,True,physics_chained_synthetic
BGW-001,4,12.36,production,57.372,17320.91,6.82,135.4,42.0,0.121,32.9,0.11,0.61,True,physics_chained_synthetic
BGW-001,4,13.67,production,54.494,22474.84,6.82,135.4,42.0,0.121,32.9,0.61,0.0,True,physics_chained_synthetic
BGW-001,4,18.04,production,48.608,38845.52,6.82,135.4,42.0,0.121,32.9,0.0,0.0,True,physics_chained_synthetic
BGW-001,4,19.42,production,47.852,41734.14,6.82,135.4,42.0,0.121,33.6,0.0,0.55,True,physics_chained_synthetic
BGW-001,4,21.41,production,47.242,44228.66,6.82,135.4,42.0,0.121,33.9,0.55,0.16,True,physics_chained_synthetic
BGW-001,4,22.04,production,47.133,44695.07,6.82,135.4,42.0,0.121,34.1,0.16,0.25,True,physics_chained_synthetic
BGW-001,4,22.22,production,47.108,44802.17,6.82,135.4,42.0,0.121,34.1,0.25,0.29,True,physics_chained_synthetic
BGW-001,4,23.73,production,46.956,45456.03,6.82,135.4,42.0,0.121,34.1,0.29,0.0,True,physics_chained_synthetic
BGW-001,4,30.45,production,46.841,45960.75,6.82,135.4,42.0,0.121,34.1,0.0,0.0,True,physics_chained_synthetic
BGW-001,4,33.53,production,46.84,45963.44,6.82,135.4,42.0,0.121,35.0,0.0,0.27,True,physics_chained_synthetic
BGW-001,4,37.71,production,46.84,45963.58,6.82,135.4,42.0,0.121,35.0,0.27,0.0,True,physics_chained_synthetic
BGW-001,4,37.81,production,46.84,45963.58,6.82,135.4,42.0,0.121,35.0,0.0,0.17,True,physics_chained_synthetic
BGW-001,4,38.07,production,46.84,45963.58,6.82,135.4,42.0,0.121,35.0,0.17,0.04,True,physics_chained_synthetic
BGW-001,4,39.92,production,46.84,45963.58,6.82,135.4,42.0,0.121,35.0,0.04,0.0,True,physics_chained_synthetic
BGW-001,3,8.78,production,57.574,17011.13,5.27,134.3,55.7,0.318,0.9,0.1,0.1,True,physics_chained_synthetic
BGW-001,3,8.99,production,57.098,17753.69,5.27,134.3,55.7,0.318,1.0,0.1,0.8,True,physics_chained_synthetic
BGW-001,3,15.98,production,47.759,42105.64,5.27,134.3,55.7,0.318,1.0,0.8,0.0,True,physics_chained_synthetic
BGW-001,3,16.07,production,47.725,42241.05,5.27,134.3,55.7,0.318,1.0,0.0,0.0,True,physics_chained_synthetic
BGW-001,3,19.45,production,46.982,45342.0,5.27,134.3,55.7,0.318,1.0,0.0,0.0,True,physics_chained_synthetic
BGW-001,3,20.11,production,46.928,45579.22,5.27,134.3,55.7,0.318,1.2,0.0,0.23,True,physics_chained_synthetic
BGW-001,3,21.46,production,46.856,45893.37,5.27,134.3,55.7,0.318,1.2,0.23,0.0,True,physics_chained_synthetic
BGW-001,3,24.97,production,46.798,46147.52,5.27,134.3,55.7,0.318,1.5,0.0,0.1,True,physics_chained_synthetic
BGW-001,3,25.66,production,46.796,46158.27,5.27,134.3,55.7,0.318,1.5,0.1,0.0,True,physics_chained_synthetic
BGW-001,3,26.36,production,46.794,46164.95,5.27,134.3,55.7,0.318,1.5,0.0,0.0,True,physics_chained_synthetic
BGW-001,3,26.96,production,46.793,46168.6,5.27,134.3,55.7,0.318,1.7,0.0,0.33,True,physics_chained_synthetic
BGW-001,3,27.48,production,46.793,46170.65,5.27,134.3,55.7,0.318,1.7,0.33,0.01,True,physics_chained_synthetic
BGW-001,3,27.78,production,46.793,46171.51,5.27,134.3,55.7,0.318,1.7,0.01,0.0,True,physics_chained_synthetic
BGW-001,3,27.95,production,46.793,46171.91,5.27,134.3,55.7,0.318,1.8,0.0,0.41,True,physics_chained_synthetic
BGW-001,3,33.02,production,46.792,46174.54,5.27,134.3,55.7,0.318,3.7,0.41,0.38,True,physics_chained_synthetic
BGW-001,3,33.16,production,46.792,46174.54,5.27,134.3,55.7,0.318,3.7,0.38,0.0,True,physics_chained_synthetic
BGW-001,3,35.23,production,46.792,46174.55,5.27,134.3,55.7,0.318,3.7,0.0,0.0,True,physics_chained_synthetic
BGW-001,3,35.27,production,46.792,46174.55,5.27,134.3,55.7,0.318,3.8,0.0,0.47,True,physics_chained_synthetic
BGW-001,3,36.78,production,46.792,46174.55,5.27,134.3,55.7,0.318,3.8,0.47,0.0,True,physics_chained_synthetic
BGW-001,3,37.08,production,46.792,46174.55,5.27,134.3,55.7,0.318,3.8,0.0,0.02,True,physics_chained_synthetic
BGW-001,3,0.4,production,135.928,58.32,5.71,124.3,49.3,0.053,57.0,143.13,143.13,True,physics_chained_synthetic
BGW-001,3,1.61,production,130.541,80.29,5.71,124.3,49.3,0.053,185.6,143.13,105.77,True,physics_chained_synthetic
BGW-001,3,3.98,production,117.592,179.49,5.71,124.3,49.3,0.053,275.9,105.77,38.16,True,physics_chained_synthetic
BGW-001,3,5.1,production,111.104,274.13,5.71,124.3,49.3,0.053,303.8,38.16,25.04,True,physics_chained_synthetic
