well_id,viscosity_cP,fluid_level_m,spm,stroke_length_in,vfd_frequency_hz,rod_string_diameter_in,rod_string_length_ft,pump_depth_ft,tubing_size_in,fluid_specific_gravity,pprl_physics_lbs,efficiency_physics_frac,peak_polished_rod_load_lbs,pump_efficiency_pct,energy_kwh_per_bbl,energy_kwh_per_stroke,actual_bopd,is_synthetic,data_source
BGW-001,32553.54,538.0,3.393,132.58,34.89,1.0,3316.2,3811.5,2.375,0.968,15810.7,0.3546,17020.9,13.61,12.2006,0.047503,19.02,True,physics_simulated_synthetic
BGW-001,782.17,219.5,7.668,138.14,51.47,1.0,3316.2,3811.5,2.375,0.98,15869.8,0.5656,16096.1,53.49,1.9901,0.046804,259.69,True,physics_simulated_synthetic
BGW-001,186.79,746.2,3.494,131.63,32.62,1.0,3316.2,3811.5,2.375,0.92,15651.0,0.7442,15603.9,74.56,2.184,0.043236,99.61,True,physics_simulated_synthetic
BGW-001,317.71,346.6,6.259,125.39,38.65,1.0,3316.2,3811.5,2.375,0.977,15851.5,0.6619,15969.0,63.6,2.2115,0.042149,171.79,True,physics_simulated_synthetic
BGW-001,205.75,314.2,7.91,115.7,45.69,1.0,3316.2,3811.5,2.375,0.991,15905.3,0.6741,16025.7,65.0,1.8366,0.039031,242.06,True,physics_simulated_synthetic
BGW-001,21244.38,766.1,3.632,142.24,56.83,1.0,3316.2,3811.5,2.375,0.972,15827.5,0.3723,16724.0,19.09,5.2471,0.050072,49.91,True,physics_simulated_synthetic
BGW-001,892.46,904.5,4.29,119.75,41.49,1.0,3316.2,3811.5,2.375,0.985,15870.2,0.5928,15812.8,55.87,2.3218,0.03986,106.06,True,physics_simulated_synthetic
BGW-001,425.62,893.5,4.831,122.27,43.12,1.0,3316.2,3811.5,2.375,1.0,15920.2,0.6553,16041.1,66.03,1.9175,0.041287,149.78,True,physics_simulated_synthetic
BGW-001,1210.95,515.4,4.8,112.13,33.54,1.0,3316.2,3811.5,2.375,0.927,15677.7,0.5585,15879.7,50.3,3.2036,0.037482,80.87,True,physics_simulated_synthetic
BGW-001,68.64,1049.6,2.724,125.96,50.51,1.0,3316.2,3811.5,2.375,0.968,15807.5,0.8159,15694.7,82.8,1.2772,0.041615,127.79,True,physics_simulated_synthetic
BGW-001,1936.17,1032.9,7.79,82.38,32.33,1.0,3316.2,3811.5,2.375,0.942,15734.5,0.4876,15992.3,40.2,4.1881,0.027733,74.28,True,physics_simulated_synthetic
