well_id,cycle_num,time_since_injection_end_days,phase,steam_volume_bbl,injection_pressure_psi,steam_quality_frac,soak_duration_days,prior_cycle_count,thermal_conductivity_W_mK,porosity_frac,formation_thickness_m,baseline_reservoir_temp_C,crude_api_gravity,cum_production_bbl,physics_temp_C,temperature_C,viscosity_cP,is_synthetic,data_source
BGW-001,4,2.628,soak,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,0.0,174.296,174.092,7.55,True,physics_simulated_synthetic
BGW-001,4,3.829,soak,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,0.0,167.412,167.06,10.72,True,physics_simulated_synthetic
BGW-001,4,9.257,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,76.28,136.389,135.615,59.4,True,physics_simulated_synthetic
BGW-001,4,11.678,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,117.29,122.815,124.042,119.44,True,physics_simulated_synthetic
BGW-001,4,13.634,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,150.42,111.853,113.799,229.52,True,physics_simulated_synthetic
BGW-001,4,21.272,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,279.77,70.685,70.89,5402.88,True,physics_simulated_synthetic
BGW-001,4,22.248,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,296.31,67.097,66.286,7950.97,True,physics_simulated_synthetic
BGW-001,4,26.605,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,370.1,54.78,53.991,23532.36,True,physics_simulated_synthetic
BGW-001,4,28.003,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,393.79,52.361,53.637,24309.01,True,physics_simulated_synthetic
BGW-001,4,33.275,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,483.08,47.473,48.879,37861.71,True,physics_simulated_synthetic
